Patient GP,Count
Y05330,107
Y03135,91
F85020,90
Y01655,86
F85034,77
F85019,74
F83623,72
F85640,68
E83018,68
E83039,67
E83668,66
E83012,66
F85634,66
Y03664,65
F85002,65
F85071,65
F85663,65
E83034,64
E83044,64
F83023,64
F83061,62
Y02117,61
E84653,61
E83030,60
Y00316,60
Y00057,59
F85023,59
E83639,58
E83010,58
F85642,58
E83005,58
F85044,58
F83043,57
F85666,57
F85065,55
Y03035,55
F83632,54
F85688,54
F85701,54
Y02674,52
F85069,51
F85061,51
F85008,51
F85030,50
F85014,50
F85063,50
F83019,49
F85031,47
F85017,46
F85669,46
F85628,46
F85013,46
E83021,45
F85623,44
Y02986,43
F85064,43
F85039,42
E83653,42
F83055,42
E83637,40
F83635,40
F85060,40
F83017,39
F83022,38
E87066,38
F85675,38
F83006,38
F85028,37
F85035,37
F85029,37
F85705,37
E83032,36
E83009,36
E87045,36
F83011,36
F85007,36
E83028,36
Y03528,36
E83035,35
F83052,35
E83638,35
F85615,35
E83049,35
E83657,34
F85682,34
F83658,34
F85032,34
E83017,33
F85043,33
F85676,33
F85650,33
F85072,32
F85058,32
F83018,32
E83045,32
E83026,31
E83037,31
F83025,31
E83007,31
E83025,31
E83013,31
E83649,30
E83024,30
E83006,30
F83058,30
F85004,30
F83044,30
E83621,30
E83053,29
E83038,29
F83633,29
F83665,29
E83020,28
Y03663,28
E83046,28
F83020,28
E83027,28
F83003,28
Y03402,27
E83011,27
E83622,27
F83042,27
F83048,27
F85046,27
F83050,27
F83615,27
F85010,26
E83008,26
E83613,26
E83600,26
Y00612,26
F85025,26
E83016,25
E83050,25
F85625,25
F85678,24
E83003,24
F85016,24
E83031,24
F85033,22
F85687,22
F83057,22
F83005,21
F83683,20
F85697,16
F85066,10
F85700,9
